season,episode,speaker,Symptom,Test,Drug,Procedure,Intent,diagnosis_stage,Sarcasm,Emotion,Organ,correct_prediction,model_prediction,text,medical_entities,clean_text,label
1,10,Chase,solunum durması,,epinefrin,,açıklama,,0,nötr,solunum,kuduz (eşlik eden over tüberkülomu ile),,"Iron dextran'a alerjik reaksiyon gelişiyor, solunumu bozuluyor ve epinefrin veriliyor.","[{""text"": ""alerjik reaksiyon"", ""type"": ""Symptom""}, {""text"": ""solunum durması"", ""type"": ""Symptom""}, {""text"": ""iron dextran"", ""type"": ""Drug""}, {""text"": ""epinefrin"", ""type"": ""Drug""}]",iron dextran a alerjik reaksiyon gelişiyor solunumu bozuluyor ve epinefrin veriliyor,2045
1,10,Cameron,depresyon,,Prozac,,açıklama,değerlendirme,0,nötr,beyin,kuduz (eşlik eden over tüberkülomu ile),,Eski kayıtlarda depresyon nedeniyle Prozac reçete edildiği görülüyor.,"[{""text"": ""depresyon"", ""type"": ""Disease""}, {""text"": ""Prozac"", ""type"": ""Drug""}]",eski kayıtlarda depresyon nedeniyle prozac reçete edildiği görülüyor,574
1,10,Victoria,hipoglisemi,,insülin,,açıklama,değerlendirme,0,nötr,genel,kuduz (eşlik eden over tüberkülomu ile),,İçeride kalabilmek için bilerek fazla insülin aldığını ve bu yüzden hipoglisemi geliştiğini itiraf ediyor.,"[{""text"": ""insülin"", ""type"": ""Drug""}, {""text"": ""hipoglisemi"", ""type"": ""Symptom""}]",i çeride kalabilmek için bilerek fazla insülin aldığını ve bu yüzden hipoglisemi geliştiğini itiraf ediyor,980
1,10,Victoria,fotofobi,kulak termometresi,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,Işığın çok parlak geldiğini söylüyor; kulak termometresiyle ateşi 105 olarak ölçülüyor.,"[{""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""yüksek ateş"", ""type"": ""Symptom""}, {""text"": ""kulak termometresi"", ""type"": ""Test""}]",işığın çok parlak geldiğini söylüyor kulak termometresiyle ateşi 105 olarak ölçülüyor,776
1,10,Victoria,ateş,kulak termometresi,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,Işığın çok parlak geldiğini söylüyor; kulak termometresiyle ateşi 105 olarak ölçülüyor.,"[{""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""yüksek ateş"", ""type"": ""Symptom""}, {""text"": ""kulak termometresi"", ""type"": ""Test""}]",işığın çok parlak geldiğini söylüyor kulak termometresiyle ateşi 105 olarak ölçülüyor,268
1,10,Victoria,hidrofobi,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,Su verilince bardağı itiyor ve suyun zehir olduğunu söyleyerek içmeyi reddediyor.,"[{""text"": ""hidrofobi"", ""type"": ""Symptom""}]",su verilince bardağı itiyor ve suyun zehir olduğunu söyleyerek içmeyi reddediyor,956
1,10,Victoria,paranoya,,sedatif,,açıklama,değerlendirme,0,nötr,beyin,kuduz (eşlik eden over tüberkülomu ile),,Mr. Fury'nin onu inciteceğini söyleyip paranoyak davranıyor; yatıştırmak için sedatif yapılıyor.,"[{""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""halüsinasyon"", ""type"": ""Symptom""}, {""text"": ""sedatif"", ""type"": ""Drug""}]",mr fury nin onu inciteceğini söyleyip paranoyak davranıyor yatıştırmak için sedatif yapılıyor,1762
1,10,Victoria,halüsinasyon,,sedatif,,açıklama,değerlendirme,0,nötr,beyin,kuduz (eşlik eden over tüberkülomu ile),,Mr. Fury'nin onu inciteceğini söyleyip paranoyak davranıyor; yatıştırmak için sedatif yapılıyor.,"[{""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""halüsinasyon"", ""type"": ""Symptom""}, {""text"": ""sedatif"", ""type"": ""Drug""}]",mr fury nin onu inciteceğini söyleyip paranoyak davranıyor yatıştırmak için sedatif yapılıyor,901
1,10,Cameron,ateş,,Prozac; bromokriptin,,hipotez,hipotez,0,nötr,beyin,kuduz (eşlik eden over tüberkülomu ile),,Prozac'ın serotonin sendromunu tetiklemiş olabileceğini ve bu yüzden bromokriptin verilmesini öneriyor.,"[{""text"": ""yüksek ateş"", ""type"": ""Symptom""}, {""text"": ""Prozac"", ""type"": ""Drug""}, {""text"": ""serotonin sendromu"", ""type"": ""Disease""}, {""text"": ""bromokriptin"", ""type"": ""Drug""}]",prozac ın serotonin sendromunu tetiklemiş olabileceğini ve bu yüzden bromokriptin verilmesini öneriyor,268
1,10,Chase,hipertermi,,,buz banyosu,açıklama,,0,nötr,genel,kuduz (eşlik eden over tüberkülomu ile),,Ateş çok yükseldiği için sonuçları beklerken buz banyosu yapılmasını öneriyor.,"[{""text"": ""hipertermi"", ""type"": ""Symptom""}, {""text"": ""buz banyosu"", ""type"": ""Procedure""}]",ateş çok yükseldiği için sonuçları beklerken buz banyosu yapılmasını öneriyor,976
1,10,House,lokal uyuşma,duyu muayenesi,,,açıklama,test,0,nötr,bacak,kuduz (eşlik eden over tüberkülomu ile),,Polisin tazerinin vurduğu uyluk bölgesinde ağrı hissetmediğini fark ediyor; bu lokal duyu kaybını gösteriyor.,"[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""duyu muayenesi"", ""type"": ""Test""}]",polisin tazerinin vurduğu uyluk bölgesinde ağrı hissetmediğini fark ediyor bu lokal duyu kaybını gösteriyor,1479
1,10,House,lokal uyuşma,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,"Lokal uyuşma, ışığa hassasiyet, dezoryantasyon, paranoya, sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor.","[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""dezoryantasyon"", ""type"": ""Symptom""}, {""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""sedatiflere yanıtsızlık"", ""type"": ""Symptom""}, {""text"": ""hidrofobi"", ""type"": ""Symptom""}]",lokal uyuşma ışığa hassasiyet dezoryantasyon paranoya sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor,1479
1,10,House,fotofobi,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,"Lokal uyuşma, ışığa hassasiyet, dezoryantasyon, paranoya, sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor.","[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""dezoryantasyon"", ""type"": ""Symptom""}, {""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""sedatiflere yanıtsızlık"", ""type"": ""Symptom""}, {""text"": ""hidrofobi"", ""type"": ""Symptom""}]",lokal uyuşma ışığa hassasiyet dezoryantasyon paranoya sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor,776
1,10,House,dezoryantasyon,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,"Lokal uyuşma, ışığa hassasiyet, dezoryantasyon, paranoya, sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor.","[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""dezoryantasyon"", ""type"": ""Symptom""}, {""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""sedatiflere yanıtsızlık"", ""type"": ""Symptom""}, {""text"": ""hidrofobi"", ""type"": ""Symptom""}]",lokal uyuşma ışığa hassasiyet dezoryantasyon paranoya sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor,589
1,10,House,paranoya,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,"Lokal uyuşma, ışığa hassasiyet, dezoryantasyon, paranoya, sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor.","[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""dezoryantasyon"", ""type"": ""Symptom""}, {""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""sedatiflere yanıtsızlık"", ""type"": ""Symptom""}, {""text"": ""hidrofobi"", ""type"": ""Symptom""}]",lokal uyuşma ışığa hassasiyet dezoryantasyon paranoya sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor,1762
1,10,House,sedatiflere yanıtsızlık,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,"Lokal uyuşma, ışığa hassasiyet, dezoryantasyon, paranoya, sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor.","[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""dezoryantasyon"", ""type"": ""Symptom""}, {""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""sedatiflere yanıtsızlık"", ""type"": ""Symptom""}, {""text"": ""hidrofobi"", ""type"": ""Symptom""}]",lokal uyuşma ışığa hassasiyet dezoryantasyon paranoya sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor,1971
1,10,House,hidrofobi,,,,açıklama,değerlendirme,0,nötr,sinir sistemi,kuduz (eşlik eden over tüberkülomu ile),,"Lokal uyuşma, ışığa hassasiyet, dezoryantasyon, paranoya, sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor.","[{""text"": ""lokal uyuşma"", ""type"": ""Symptom""}, {""text"": ""fotofobi"", ""type"": ""Symptom""}, {""text"": ""dezoryantasyon"", ""type"": ""Symptom""}, {""text"": ""paranoya"", ""type"": ""Symptom""}, {""text"": ""sedatiflere yanıtsızlık"", ""type"": ""Symptom""}, {""text"": ""hidrofobi"", ""type"": ""Symptom""}]",lokal uyuşma ışığa hassasiyet dezoryantasyon paranoya sedatiflere yanıtsızlık ve hidrofobiyi aynı tabloda birleştiriyor,956
1,10,Victoria,suçluluk,,,,açıklama,değerlendirme,0,empati,beyin,kuduz (eşlik eden over tüberkülomu ile),,Kendisini kötü kişi ilan ediyor; hezeyan ve yoğun suçluluk duygusu gösteriyor.,"[{""text"": ""hezeyan"", ""type"": ""Symptom""}, {""text"": ""suçluluk"", ""type"": ""Symptom""}]",kendisini kötü kişi ilan ediyor hezeyan ve yoğun suçluluk duygusu gösteriyor,2084
1,10,Victoria,hezeyan,,,,açıklama,değerlendirme,0,empati,beyin,kuduz (eşlik eden over tüberkülomu ile),,Kendisini kötü kişi ilan ediyor; hezeyan ve yoğun suçluluk duygusu gösteriyor.,"[{""text"": ""hezeyan"", ""type"": ""Symptom""}, {""text"": ""suçluluk"", ""type"": ""Symptom""}]",kendisini kötü kişi ilan ediyor hezeyan ve yoğun suçluluk duygusu gösteriyor,955
1,10,Wilson,bilek seğirmesi,,,,açıklama,değerlendirme,0,nötr,kol,kuduz (eşlik eden over tüberkülomu ile),,Başta dikkatini çeken asıl nörolojik bulgunun bilek seğirmesi olduğunu vurguluyor.,"[{""text"": ""bilek seğirmesi"", ""type"": ""Symptom""}]",başta dikkatini çeken asıl nörolojik bulgunun bilek seğirmesi olduğunu vurguluyor,408
1,11,Pam,kanama,,,,açıklama,semptom incelemesi,0,öfke,,naftalin zehirlenmesi,,"Aman Tanrım, kanıyorsun!","[{""text"": ""kanama"", ""type"": ""Symptom""}]",aman tanrım kanıyorsun,1209
1,11,Cameron,kanama,,,,açıklama,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,"16 yaşındaki MVA kurbanı. Üç haftadır iç kanama nedeniyle hastaneye girip çıkıyor, sebebini kimse bulamıyor.","[{""text"": ""kanama"", ""type"": ""Symptom""}]",16 yaşındaki mva kurbanı üç haftadır iç kanama nedeniyle hastaneye girip çıkıyor sebebini kimse bulamıyor,1209
1,11,House,kanama,,,,açıklama,semptom incelemesi,1,öfke,,naftalin zehirlenmesi,,"Bir araba kazasından sonra iç kanama, vay be, bu şok edici!  Bırakın gemicilikle konuşayım, onların dilini konuşuyorum.","[{""text"": ""kanama"", ""type"": ""Symptom""}]",bir araba kazasından sonra iç kanama vay be bu şok edici bırakın gemicilikle konuşayım onların dilini konuşuyorum,1209
1,11,House,ağrı,,,,açıklama,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,Ağrı kesici ilaçlarım hastanenizde yok.,"[{""text"": ""ağrı"", ""type"": ""Symptom""}]",ağrı kesici ilaçlarım hastanenizde yok,288
1,11,Cameron,ateş,,,,açıklama,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,"Ateş yok, beyaz sayım yok.","[{""text"": ""ateş"", ""type"": ""Symptom""}]",ateş yok beyaz sayım yok,268
1,11,Cameron,ateş,,,,hipotez,değerlendirme,0,nötr,,naftalin zehirlenmesi,,Lupus ise ateş eksikliğini ve beyaz sayımını açıklayabiliriz.,"[{""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""lupus"", ""type"": ""Disease""}]",lupus ise ateş eksikliğini ve beyaz sayımını açıklayabiliriz,268
1,11,Cuddy,ağrı,,,,açıklama,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,Acıyı yönetmenin başka yolları da olduğunu biliyorsun.,"[{""text"": ""ağrı"", ""type"": ""Symptom""}]",acıyı yönetmenin başka yolları da olduğunu biliyorsun,288
1,11,House,ağrı,,,,açıklama,semptom incelemesi,1,öfke,,naftalin zehirlenmesi,,"Ah, bu çok fazla! Moderasyon anahtardır. Acı olmadığı sürece.","[{""text"": ""ağrı"", ""type"": ""Symptom""}]",ah bu çok fazla moderasyon anahtardır acı olmadığı sürece,288
1,11,Cuddy,ağrı,,,,açıklama,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,"Hayır, yapamazsın. Eğer ağrı kesiciyi yeni bırakıyorsan canın acıyacak, pek iyi vakit geçiremeyeceksin ama başaracaksın. Detoks yapıyorsanız üşüme, mide bulantısı hissedersiniz… ağrınız beş, on kat artacaktır. Başaramayacaksın.","[{""text"": ""ağrı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}]",hayır yapamazsın eğer ağrı kesiciyi yeni bırakıyorsan canın acıyacak pek iyi vakit geçiremeyeceksin ama başaracaksın detoks yapıyorsanız üşüme mide bulantısı hissedersiniz ağrınız beş on kat artacaktır başaramayacaksın,288
1,11,Cuddy,bulantı,,,,açıklama,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,"Hayır, yapamazsın. Eğer ağrı kesiciyi yeni bırakıyorsan canın acıyacak, pek iyi vakit geçiremeyeceksin ama başaracaksın. Detoks yapıyorsanız üşüme, mide bulantısı hissedersiniz… ağrınız beş, on kat artacaktır. Başaramayacaksın.","[{""text"": ""ağrı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}]",hayır yapamazsın eğer ağrı kesiciyi yeni bırakıyorsan canın acıyacak pek iyi vakit geçiremeyeceksin ama başaracaksın detoks yapıyorsanız üşüme mide bulantısı hissedersiniz ağrınız beş on kat artacaktır başaramayacaksın,456
1,11,Cameron,ağrı,,,,soru sorma,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,"Hiç eklem ağrısından şikayet etti mi? Işığa karşı hassasiyet, döküntüler…","[{""text"": ""ağrı"", ""type"": ""Symptom""}]",hiç eklem ağrısından şikayet etti mi işığa karşı hassasiyet döküntüler,288
1,11,Cameron,morarma,,,,soru sorma,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,Peki ya morarma? Kollarının altındaki veya kasıklarındaki hassasiyetten hiç şikayet etti mi?,"[{""text"": ""morarma"", ""type"": ""Symptom""}, {""text"": ""hassasiyet"", ""type"": ""Symptom""}]",peki ya morarma kollarının altındaki veya kasıklarındaki hassasiyetten hiç şikayet etti mi,1583
1,11,Cameron,hassasiyet,,,,soru sorma,semptom incelemesi,0,nötr,,naftalin zehirlenmesi,,Peki ya morarma? Kollarının altındaki veya kasıklarındaki hassasiyetten hiç şikayet etti mi?,"[{""text"": ""morarma"", ""type"": ""Symptom""}, {""text"": ""hassasiyet"", ""type"": ""Symptom""}]",peki ya morarma kollarının altındaki veya kasıklarındaki hassasiyetten hiç şikayet etti mi,914
1,11,Chase,kanama,,,,açıklama,semptom incelemesi,0,ciddi,göz,naftalin zehirlenmesi,,"Kan sulandırıcı kullanamazsınız, iç kanaması var. Gözü onarırsan geri kalan her şeyi öldürürsün.","[{""text"": ""kanama"", ""type"": ""Symptom""}, {""text"": ""göz"", ""type"": ""Organ""}]",kan sulandırıcı kullanamazsınız iç kanaması var gözü onarırsan geri kalan her şeyi öldürürsün,1209
1,11,House,kanama,,,,soru sorma,değerlendirme,1,nötr,göz,naftalin zehirlenmesi,,"Gözü unut. İyi tarafından bakması için diğerini kullanmasını söyle. Pıhtı bize bir şeyler söylüyor. Neye sahip olduğunu anlamamıza yardımcı olabilir, bu da onun yaşayabileceği anlamına gelebilir.  Ayırıcı tanı millet. İç kanama nasıl aniden pıhtılaşmaya başlar?","[{""text"": ""kanama"", ""type"": ""Symptom""}, {""text"": ""göz"", ""type"": ""Organ""}, {""text"": ""pıhtı"", ""type"": ""Disease""}]",gözü unut i yi tarafından bakması için diğerini kullanmasını söyle pıhtı bize bir şeyler söylüyor neye sahip olduğunu anlamamıza yardımcı olabilir bu da onun yaşayabileceği anlamına gelebilir ayırıcı tanı millet i ç kanama nasıl aniden pıhtılaşmaya başlar,1209
1,12,Lola,ağrı,,,,açıklama,semptom incelemesi,0,nötr,,kadmiyum zehirlenmesi,,"Ağrınız var, dozlar takip ediliyor. Bu bir kayma değil. Ayrıca afyon sana göre değildi.","[{""text"": ""ağrı"", ""type"": ""Symptom""}]",ağrınız var dozlar takip ediliyor bu bir kayma değil ayrıca afyon sana göre değildi,288
1,12,Warner,ağrı,,,,açıklama,semptom incelemesi,0,nötr,,kadmiyum zehirlenmesi,,"Morfini azaltmış olmalılar. Bu çok yanlış, acı çekiyorsun. Hey, senin için bir şeyim var.","[{""text"": ""ağrı"", ""type"": ""Symptom""}]",morfini azaltmış olmalılar bu çok yanlış acı çekiyorsun hey senin için bir şeyim var,288
1,13,Sarah,ateş,,,,soru sorma,semptom incelemesi,0,öfke,,cüzzam (leprozi),,"Haydi tatlım! Neredeyse bir haftadır ateşin var.  Aman Tanrım! Gabe! İyi misin? Bebeğim, sorun ne?","[{""text"": ""ateş"", ""type"": ""Symptom""}]",haydi tatlım neredeyse bir haftadır ateşin var aman tanrım gabe i yi misin bebeğim sorun ne,268
1,13,Cuddy,ateş,,,,açıklama,semptom incelemesi,0,nötr,göğüs,cüzzam (leprozi),,"Erkek, yükselen ateş, göğüs tıkanıklığı ve öksürme ile yeşil balgam çıkarma, nefes almada ağrı –","[{""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""ağrı"", ""type"": ""Symptom""}, {""text"": ""göğüs"", ""type"": ""Organ""}]",erkek yükselen ateş göğüs tıkanıklığı ve öksürme ile yeşil balgam çıkarma nefes almada ağrı,268
1,13,Cuddy,ağrı,,,,açıklama,semptom incelemesi,0,nötr,göğüs,cüzzam (leprozi),,"Erkek, yükselen ateş, göğüs tıkanıklığı ve öksürme ile yeşil balgam çıkarma, nefes almada ağrı –","[{""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""ağrı"", ""type"": ""Symptom""}, {""text"": ""göğüs"", ""type"": ""Organ""}]",erkek yükselen ateş göğüs tıkanıklığı ve öksürme ile yeşil balgam çıkarma nefes almada ağrı,288
1,13,Cuddy,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Sefuroksime yanıt vermiyor, nabzı zatürre için olması gerekenden çok daha hızlı düşüyor ve ayrıca tuhaf küçük bir döküntüsü var.","[{""text"": ""döküntü"", ""type"": ""Symptom""}]",sefuroksime yanıt vermiyor nabzı zatürre için olması gerekenden çok daha hızlı düşüyor ve ayrıca tuhaf küçük bir döküntüsü var,643
1,13,Cuddy,döküntü,,,,açıklama,semptom incelemesi,0,öfke,,cüzzam (leprozi),,"HAYIR! İtiraf et, seni kızarıklıktan yakaladım.","[{""text"": ""döküntü"", ""type"": ""Symptom""}]",hayir i tiraf et seni kızarıklıktan yakaladım,643
1,13,House,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Kızarıklık tam bir ertelemedir.  Zatürre ile bağlantılı olmadığı sürece parti zamanıdır.,"[{""text"": ""döküntü"", ""type"": ""Symptom""}]",kızarıklık tam bir ertelemedir zatürre ile bağlantılı olmadığı sürece parti zamanıdır,643
1,13,House,döküntü,,,,soru sorma,semptom incelemesi,1,nötr,,cüzzam (leprozi),,"Pürülan balgam, nefes darlığı, iki taraflı bronşlar. Bu tür döküntülere ne sebep olur?","[{""text"": ""döküntü"", ""type"": ""Symptom""}]",pürülan balgam nefes darlığı iki taraflı bronşlar bu tür döküntülere ne sebep olur,643
1,13,House,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Önce döküntü geldi, zatürreye neden oldu. Güzel.","[{""text"": ""döküntü"", ""type"": ""Symptom""}]",önce döküntü geldi zatürreye neden oldu güzel,643
1,13,Foreman,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Döküntü daha püstüler olurdu.,"[{""text"": ""döküntü"", ""type"": ""Symptom""}]",döküntü daha püstüler olurdu,643
1,13,Chase,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Her zaman değil. Ve uyan tek bir kızarıklık var.,"[{""text"": ""döküntü"", ""type"": ""Symptom""}]",her zaman değil ve uyan tek bir kızarıklık var,643
1,13,House,döküntü,biyopsi,,,hipotez,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Elbette. Güvenliği için ona sıvı ve sefuroksim vermeye devam edelim. Ve o döküntüye biyopsi yap. Ve başka bir tarih al. Buna neyin sebep olduğunu öğrenmesek bile, on iki yaşındaki çocukların herhangi bir işlem yapıp yapmadığını kesinlikle bilmemiz gerekir.","[{""text"": ""döküntü"", ""type"": ""Symptom""}, {""text"": ""biyopsi"", ""type"": ""Test""}]",elbette güvenliği için ona sıvı ve sefuroksim vermeye devam edelim ve o döküntüye biyopsi yap ve başka bir tarih al buna neyin sebep olduğunu öğrenmesek bile on iki yaşındaki çocukların herhangi bir işlem yapıp yapmadığını kesinlikle bilmemiz gerekir,643
1,13,Cameron,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Döküntüden sıvı topluyoruz.,"[{""text"": ""döküntü"", ""type"": ""Symptom""}]",döküntüden sıvı topluyoruz,643
1,13,Chase,döküntü,,,,açıklama,semptom incelemesi,0,nötr,kol,cüzzam (leprozi),,"Tavan arasında bir şeyin üzerine düştü, kolunu sıyırdı ve ertesi gün kızarıklık oluştu. Orasının gerçekten küf koktuğunu söyledi.","[{""text"": ""döküntü"", ""type"": ""Symptom""}, {""text"": ""kol"", ""type"": ""Organ""}]",tavan arasında bir şeyin üzerine düştü kolunu sıyırdı ve ertesi gün kızarıklık oluştu orasının gerçekten küf koktuğunu söyledi,643
1,13,Chase,döküntü,,,,soru sorma,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Evet, aranızda son zamanlarda kendini hasta hisseden var mı? Kızarıklık, soğuk algınlığı, herhangi bir şey var mı?","[{""text"": ""döküntü"", ""type"": ""Symptom""}]",evet aranızda son zamanlarda kendini hasta hisseden var mı kızarıklık soğuk algınlığı herhangi bir şey var mı,643
1,13,Jeffrey,döküntü,,,,soru sorma,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Kızarıklığa neden olabilecek tüm bu tuhaf hastalıklar var. Leishmaniasis ve filariasis'e ne dersiniz?,"[{""text"": ""döküntü"", ""type"": ""Symptom""}]",kızarıklığa neden olabilecek tüm bu tuhaf hastalıklar var leishmaniasis ve filariasis e ne dersiniz,643
1,13,Chase,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Döküntü klasik şarbondur.,"[{""text"": ""döküntü"", ""type"": ""Symptom""}]",döküntü klasik şarbondur,643
1,13,Cameron,döküntü,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Döküntü henüz siyaha dönmedi. Nekroz yok, şarbon yok.","[{""text"": ""döküntü"", ""type"": ""Symptom""}]",döküntü henüz siyaha dönmedi nekroz yok şarbon yok,643
1,13,Foreman,ateş,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,Bazı testler yaptık ve sonuçlar sarkoidozu işaret ediyor. Vücut dokusunun şişmesine neden olur. Görünüşe göre Gabriel'in cildinin ve ciğerlerinin peşine düşüp ona bu ateşi bulaştırmış.,"[{""text"": ""ateş"", ""type"": ""Symptom""}]",bazı testler yaptık ve sonuçlar sarkoidozu işaret ediyor vücut dokusunun şişmesine neden olur görünüşe göre gabriel in cildinin ve ciğerlerinin peşine düşüp ona bu ateşi bulaştırmış,268
1,13,Jeffrey,ağrı,tarama,,ameliyat,hipotez,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Bilekte ağrı. Aylarca gitmeyecek.  Altı doktorun harika sonucu işi kolaylaştırma yönünde. Bir çek yazıyorum, bir plaketin üzerinde ismim yazıyor ve kırk sekiz saat sonra iki MR çektiriyorum, bir kemik taraması yaptırıyorum ve bir teşhis koyuyorum: karpal tünel. Öğleden sonra ameliyattayım.","[{""text"": ""ağrı"", ""type"": ""Symptom""}, {""text"": ""tarama"", ""type"": ""Test""}, {""text"": ""ameliyat"", ""type"": ""Procedure""}]",bilekte ağrı aylarca gitmeyecek altı doktorun harika sonucu işi kolaylaştırma yönünde bir çek yazıyorum bir plaketin üzerinde ismim yazıyor ve kırk sekiz saat sonra iki mr çektiriyorum bir kemik taraması yaptırıyorum ve bir teşhis koyuyorum karpal tünel öğleden sonra ameliyattayım,288
1,13,Cameron,ateş,,,,açıklama,semptom incelemesi,0,nötr,,cüzzam (leprozi),,"Ateşi de geri döndü, 105'in üzerine çıktı.","[{""text"": ""ateş"", ""type"": ""Symptom""}]",ateşi de geri döndü 105 in üzerine çıktı,268
1,14,House,bacak ağrısı,,,,açıklama,değerlendirme,0,nötr,"bacak,beyin",kalp yetmezliği (ipecac fazlalığına bağlı),,Hastanın başlangıç şikayetleri bacak ağrısı ve baş ağrısı; önce pıhtılaşma ya da nörolojik nedenleri dışlamalıyız.,"[{""text"": ""bacak ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}]",hastanın başlangıç şikayetleri bacak ağrısı ve baş ağrısı önce pıhtılaşma ya da nörolojik nedenleri dışlamalıyız,318
1,14,House,baş ağrısı,,,,açıklama,değerlendirme,0,nötr,"bacak,beyin",kalp yetmezliği (ipecac fazlalığına bağlı),,Hastanın başlangıç şikayetleri bacak ağrısı ve baş ağrısı; önce pıhtılaşma ya da nörolojik nedenleri dışlamalıyız.,"[{""text"": ""bacak ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}]",hastanın başlangıç şikayetleri bacak ağrısı ve baş ağrısı önce pıhtılaşma ya da nörolojik nedenleri dışlamalıyız,359
